market_cap_rank,name,symbol,current_price,ath,down_from_ath,price_to_recover,ath_status,days_since_ath,market_cap,market_cap_category,market_dominance,volume_24h,price_change_24h,price_change_7d,price_change_30d
1,Bitcoin,BTC,"$79,009.0000","$79,674.0000",0.83%,0.84%,Near ATH,0,"$1,562,896,366,508",Mega Cap,59.07%,"$49,027,034,477",3.19%,15.57%,30.30%
2,Ethereum,ETH,"$3,189.2200","$4,878.2600",34.62%,52.96%,Slight Dip,1095,"$383,938,497,381",Mega Cap,14.51%,"$34,764,437,535",5.29%,30.19%,32.18%
3,Tether,USDT,$1.0010,$1.3200,24.17%,31.87%,Slight Dip,2301,"$123,278,814,112",Mega Cap,4.66%,"$58,963,540,119",-0.05%,0.10%,0.18%
4,Solana,SOL,$205.2600,$259.9600,21.04%,26.65%,Slight Dip,1099,"$96,860,027,728",Large Cap,3.66%,"$5,742,593,312",2.32%,25.55%,44.92%
5,BNB,BNB,$631.0500,$717.4800,12.05%,13.70%,Near ATH,156,"$92,063,058,250",Large Cap,3.48%,"$1,819,325,511",0.38%,11.99%,12.43%
6,USDC,USDC,$1.0000,$1.1700,14.53%,17.00%,Near ATH,2013,"$37,036,841,211",Large Cap,1.40%,"$9,188,140,754",0.01%,0.05%,0.02%
7,XRP,XRP,$0.5849,$3.4000,82.80%,481.30%,Deep Bear,2499,"$33,306,303,793",Large Cap,1.26%,"$2,430,989,760",5.63%,15.72%,9.13%
8,Dogecoin,DOGE,$0.2274,$0.7316,68.92%,221.76%,Bear Market,1282,"$33,337,063,735",Large Cap,1.26%,"$6,950,404,509",9.23%,49.98%,110.76%
9,Lido Staked Ether,STETH,"$3,187.6500","$4,829.5700",34.00%,51.51%,Slight Dip,1095,"$31,233,055,102",Large Cap,1.18%,"$49,760,885",5.21%,30.29%,32.48%
10,Cardano,ADA,$0.5835,$3.0900,81.12%,429.55%,Deep Bear,1165,"$20,976,034,800",Large Cap,0.79%,"$2,841,274,844",34.07%,71.64%,69.13%
11,TRON,TRX,$0.1647,$0.2317,28.93%,40.70%,Slight Dip,2501,"$14,226,185,339",Medium Cap,0.54%,"$503,830,291",2.63%,0.39%,3.69%
12,Toncoin,TON,$5.4500,$8.2500,33.94%,51.38%,Slight Dip,148,"$13,869,674,760",Medium Cap,0.52%,"$681,945,199",5.63%,13.36%,5.34%
13,Wrapped stETH,WSTETH,"$3,775.0800","$7,256.0200",47.97%,92.21%,Correction,911,"$13,704,475,773",Medium Cap,0.52%,"$31,164,248",5.29%,30.67%,32.76%
14,Shiba Inu,SHIB,$0.0000,$0.0001,73.87%,282.76%,Bear Market,1109,"$13,262,535,567",Medium Cap,0.50%,"$2,789,747,609",17.24%,31.80%,33.20%
15,Avalanche,AVAX,$31.5800,$144.9600,78.21%,359.02%,Bear Market,1084,"$12,868,036,092",Medium Cap,0.49%,"$704,886,315",7.69%,33.77%,20.90%
16,Wrapped Bitcoin,WBTC,"$78,825.0000","$79,525.0000",0.88%,0.89%,Near ATH,0,"$11,535,233,030",Medium Cap,0.44%,"$189,207,954",3.04%,15.47%,30.15%
17,WETH,WETH,"$3,188.7000","$4,799.8900",33.57%,50.53%,Slight Dip,1097,"$9,252,856,600",Medium Cap,0.35%,"$430,480,574",5.29%,30.22%,32.61%
18,Chainlink,LINK,$14.5100,$52.7000,72.47%,263.20%,Bear Market,1280,"$9,096,250,017",Medium Cap,0.34%,"$860,265,877",7.45%,32.05%,36.09%
19,Bitcoin Cash,BCH,$428.2900,"$3,785.8200",88.69%,783.94%,Deep Bear,2517,"$8,474,465,914",Medium Cap,0.32%,"$888,691,657",14.36%,24.37%,32.47%
20,Sui,SUI,$2.9100,$2.9200,0.34%,0.34%,Near ATH,0,"$8,266,527,666",Medium Cap,0.31%,"$2,908,085,882",27.68%,54.40%,57.53%
21,Polkadot,DOT,$4.9600,$54.9800,90.98%,1008.47%,Extreme Bear,1101,"$7,117,966,297",Medium Cap,0.27%,"$565,128,703",13.76%,29.55%,20.79%
22,LEO Token,LEO,$6.8600,$8.1400,15.72%,18.66%,Near ATH,1005,"$6,340,847,618",Medium Cap,0.24%,"$4,526,035",6.22%,13.26%,14.12%
23,Wrapped eETH,WEETH,"$3,353.5500","$4,196.8700",20.09%,25.15%,Slight Dip,242,"$5,830,114,592",Medium Cap,0.22%,"$8,054,650",5.20%,30.28%,32.73%
24,NEAR Protocol,NEAR,$4.7800,$20.4400,76.61%,327.62%,Bear Market,1028,"$5,823,074,166",Medium Cap,0.22%,"$532,359,513",8.90%,27.48%,2.98%
25,Aptos,APT,$11.0800,$19.9200,44.38%,79.78%,Correction,653,"$5,746,136,092",Medium Cap,0.22%,"$692,574,577",11.93%,34.29%,37.23%
26,Litecoin,LTC,$76.3100,$410.2600,81.40%,437.62%,Deep Bear,1280,"$5,729,618,843",Medium Cap,0.22%,"$614,038,824",4.16%,11.89%,18.04%
27,USDS,USDS,$0.9963,$1.0570,5.74%,6.09%,Near ATH,12,"$5,570,256,597",Medium Cap,0.21%,"$7,815,597",-0.09%,-0.39%,-0.06%
28,Uniswap,UNI,$9.2400,$44.9200,79.43%,386.15%,Bear Market,1287,"$5,550,609,378",Medium Cap,0.21%,"$509,506,889",2.83%,29.26%,13.59%
29,Pepe,PEPE,$0.0000,$0.0000,33.49%,50.35%,Slight Dip,167,"$4,804,315,470",Small Cap,0.18%,"$3,277,807,021",4.32%,35.85%,22.00%
30,Internet Computer,ICP,$8.9200,$700.6500,98.73%,7754.82%,Extreme Bear,1279,"$4,221,073,555",Small Cap,0.16%,"$217,292,092",7.19%,22.09%,10.86%
31,Artificial Superintelligence Alliance,FET,$1.4800,$3.4500,57.10%,133.11%,Correction,226,"$3,850,893,077",Small Cap,0.15%,"$441,013,552",4.31%,24.90%,10.55%
32,Bittensor,TAO,$519.7100,$757.6000,31.40%,45.77%,Slight Dip,247,"$3,836,275,600",Small Cap,0.15%,"$226,933,847",2.31%,18.81%,-9.50%
33,Ethereum Classic,ETC,$23.0400,$167.0900,86.21%,625.22%,Deep Bear,1283,"$3,434,315,109",Small Cap,0.13%,"$394,941,056",11.28%,28.98%,26.22%
34,Cronos,CRO,$0.1261,$0.9654,86.94%,665.46%,Deep Bear,1081,"$3,418,087,236",Small Cap,0.13%,"$169,449,660",20.49%,75.82%,64.74%
35,Kaspa,KAS,$0.1352,$0.2074,34.82%,53.42%,Slight Dip,101,"$3,388,628,631",Small Cap,0.13%,"$260,098,957",20.32%,23.54%,2.47%
