market_cap_rank,name,symbol,current_price,ath,down_from_ath,price_to_recover,ath_status,days_since_ath,market_cap,market_cap_category,market_dominance,volume_24h,price_change_24h,price_change_7d,price_change_30d
1,Bitcoin,BTC,79009.0,79674.0,0.83,0.84,Near ATH,0,1562896366508.0,Mega Cap,59.07,49027034477.0,3.19,15.57,30.3
2,Ethereum,ETH,3189.22,4878.26,34.62,52.96,Slight Dip,1095,383938497381.0,Mega Cap,14.51,34764437535.0,5.29,30.19,32.18
3,Tether,USDT,1.001,1.32,24.17,31.87,Slight Dip,2301,123278814112.0,Mega Cap,4.66,58963540119.0,-0.05,0.1,0.18
4,Solana,SOL,205.26,259.96,21.04,26.65,Slight Dip,1099,96860027728.0,Large Cap,3.66,5742593312.0,2.32,25.55,44.92
5,BNB,BNB,631.05,717.48,12.05,13.7,Near ATH,156,92063058250.0,Large Cap,3.48,1819325511.0,0.38,11.99,12.43
6,USDC,USDC,1.0,1.17,14.53,17.0,Near ATH,2013,37036841211.0,Large Cap,1.4,9188140754.0,0.01,0.05,0.02
7,XRP,XRP,0.5849,3.4,82.8,481.3,Deep Bear,2499,33306303793.0,Large Cap,1.26,2430989760.0,5.63,15.72,9.13
8,Dogecoin,DOGE,0.2274,0.7316,68.92,221.76,Bear Market,1282,33337063735.0,Large Cap,1.26,6950404509.0,9.23,49.98,110.76
9,Lido Staked Ether,STETH,3187.65,4829.57,34.0,51.51,Slight Dip,1095,31233055102.0,Large Cap,1.18,49760885.0,5.21,30.29,32.48
10,Cardano,ADA,0.5835,3.09,81.12,429.55,Deep Bear,1165,20976034800.0,Large Cap,0.79,2841274844.0,34.07,71.64,69.13
11,TRON,TRX,0.1647,0.2317,28.93,40.7,Slight Dip,2501,14226185339.0,Medium Cap,0.54,503830291.0,2.63,0.39,3.69
12,Toncoin,TON,5.45,8.25,33.94,51.38,Slight Dip,148,13869674760.0,Medium Cap,0.52,681945199.0,5.63,13.36,5.34
13,Wrapped stETH,WSTETH,3775.08,7256.02,47.97,92.21,Correction,911,13704475773.0,Medium Cap,0.52,31164248.0,5.29,30.67,32.76
14,Shiba Inu,SHIB,0.0,0.0001,73.87,282.76,Bear Market,1109,13262535567.0,Medium Cap,0.5,2789747609.0,17.24,31.8,33.2
15,Avalanche,AVAX,31.58,144.96,78.21,359.02,Bear Market,1084,12868036092.0,Medium Cap,0.49,704886315.0,7.69,33.77,20.9
16,Wrapped Bitcoin,WBTC,78825.0,79525.0,0.88,0.89,Near ATH,0,11535233030.0,Medium Cap,0.44,189207954.0,3.04,15.47,30.15
17,WETH,WETH,3188.7,4799.89,33.57,50.53,Slight Dip,1097,9252856600.0,Medium Cap,0.35,430480574.0,5.29,30.22,32.61
18,Chainlink,LINK,14.51,52.7,72.47,263.2,Bear Market,1280,9096250017.0,Medium Cap,0.34,860265877.0,7.45,32.05,36.09
19,Bitcoin Cash,BCH,428.29,3785.82,88.69,783.94,Deep Bear,2517,8474465914.0,Medium Cap,0.32,888691657.0,14.36,24.37,32.47
20,Sui,SUI,2.91,2.92,0.34,0.34,Near ATH,0,8266527666.0,Medium Cap,0.31,2908085882.0,27.68,54.4,57.53
21,Polkadot,DOT,4.96,54.98,90.98,1008.47,Extreme Bear,1101,7117966297.0,Medium Cap,0.27,565128703.0,13.76,29.55,20.79
